year_month,agent,mean,count
2025-01,Devin,0.15306474692294036,44
2025-02,Devin,0.12168931829553374,54
2025-03,Claude_Code,0.11775797568261623,15
2025-03,Devin,0.09092156554106623,92
2025-04,Devin,0.1447367937177081,176
2025-05,Claude_Code,0.14136043100410867,18
2025-05,Copilot,0.17519483395887653,341
2025-05,Devin,0.14984193055008307,218
2025-05,OpenAI_Codex,0.06428696563155435,824
2025-06,Claude_Code,0.07098312407791571,86
2025-06,Copilot,0.20173335370104978,767
2025-06,Cursor,0.22362205297449383,295
2025-06,Devin,0.21851418736470515,327
2025-06,OpenAI_Codex,0.08591692260736314,1077
2025-07,Claude_Code,0.15934351465334715,158
2025-07,Copilot,0.185625991814545,870
2025-07,Cursor,0.23214829448584673,612
2025-07,Devin,0.253192359027924,504
2025-07,OpenAI_Codex,0.0838309032449398,536
