topic,Claude_Code,Copilot,Cursor,Devin,OpenAI_Codex
0,11,202,17,61,27
1,0,167,0,29,2
2,7,10,63,74,6
3,1,77,4,19,4
4,3,51,1,27,4
5,2,48,2,21,5
6,0,13,0,28,1
7,1,33,2,5,0
8,0,20,1,17,2
9,0,25,1,8,2
10,0,20,5,3,5
11,1,19,2,6,4
12,0,19,0,12,1
13,1,21,1,4,2
14,4,13,1,8,3
15,0,6,2,0,20
16,0,15,0,8,4
17,1,18,1,5,0
18,0,22,0,0,1
19,0,0,0,23,0
20,1,15,1,4,1
21,0,7,1,11,2
22,3,11,0,5,2
23,0,20,0,0,0
24,0,18,0,0,1
25,1,16,1,0,1
26,0,16,0,3,0
27,0,11,0,7,1
28,0,17,0,2,0
29,0,9,1,5,4
30,0,15,0,3,0
31,1,1,12,2,2
32,1,13,0,2,1
33,0,11,0,5,1
34,0,10,1,5,1
35,0,0,12,2,2
36,0,13,0,3,0
37,0,7,0,6,3
38,3,5,3,3,1
39,0,6,0,9,0
40,0,6,2,5,2
41,0,5,2,6,2
42,0,13,0,1,0
43,1,6,2,3,2
44,0,11,1,1,1
45,1,2,0,11,0
46,3,3,1,4,3
47,0,7,1,5,1
48,0,0,1,11,1
49,0,10,1,2,0
50,0,10,0,0,3
51,0,7,0,6,0
52,1,7,0,3,2
53,0,10,0,3,0
54,0,9,0,4,0
55,0,10,1,2,0
56,0,3,1,6,3
57,0,1,12,0,0
58,1,9,1,1,0
59,0,8,1,2,1
60,0,8,0,0,4
61,0,7,0,4,1
62,0,11,0,1,0
63,0,8,0,4,0
64,0,2,0,7,2
65,0,9,1,1,0
66,0,10,0,1,0
67,0,4,0,6,1
68,0,11,0,0,0
69,1,5,1,4,0
70,0,1,3,5,2
71,0,11,0,0,0
72,0,6,0,5,0
73,0,5,0,4,1
74,0,1,0,4,5
75,0,7,0,2,1
76,1,7,0,2,0
77,1,0,0,8,1
78,0,5,1,4,0
79,0,6,1,3,0
80,0,5,0,5,0
81,0,8,1,1,0
82,0,5,2,1,2
83,0,10,0,0,0
84,1,3,0,5,0
85,0,9,0,0,0
86,0,8,0,1,0
87,0,1,0,8,0
88,0,0,0,9,0
89,0,8,0,1,0
90,0,4,0,5,0
91,1,2,1,3,2
92,0,9,0,0,0
93,0,5,0,3,1
94,0,7,0,2,0
95,0,7,0,0,2
96,0,0,7,2,0
97,0,6,1,0,2
98,1,5,0,2,0
99,0,0,8,0,0
100,0,5,3,0,0
101,0,3,2,3,0
102,0,4,1,2,1
103,0,6,0,1,1
104,0,3,2,3,0
105,0,2,0,4,2
106,1,1,6,0,0
107,0,0,4,1,3
108,0,2,1,5,0
109,0,2,0,6,0
110,0,3,0,4,1
111,0,5,0,1,2
112,0,5,1,0,2
113,1,3,0,3,0
114,1,4,0,2,0
115,0,4,0,2,1
116,1,1,0,0,5
117,0,7,0,0,0
118,0,7,0,0,0
119,0,7,0,0,0
120,0,3,0,4,0
121,0,7,0,0,0
122,0,3,0,3,1
123,0,0,7,0,0
124,1,2,2,1,0
125,1,4,0,1,0
126,0,5,0,1,0
127,0,4,0,2,0
128,0,3,3,0,0
129,0,3,0,3,0
130,0,6,0,0,0
131,0,3,0,3,0
132,0,6,0,0,0
133,0,5,1,0,0
134,0,0,3,1,2
135,0,4,0,1,0
136,0,3,0,1,1
