Topic,Count,Name,Representation,Representative_Docs
-1,1281,-1_plugin_studio_start_service,"['plugin', 'studio', 'start', 'service', 'ts', 'environment', 'command', 'query', 'script', 'variable']","[""@claude # Context We have a build failure caused by LangChain’s prompt parser: “Error: Single '}' in template.” The culprit is [CODE]. # Mission Open that file and escape every literal curly brace inside the multiline template string assigned to [CODE]. ## Requirements 1. Any [CODE] or [CODE] that is **NOT** part of a [CODE] interpolation must be doubled: - [CODE] → [CODE] - [CODE] → [CODE] 2. Do **NOT** change the surrounding code style, imports, or line endings. 3. Add a concise inline comment **above** the template explaining why the braces need escaping for LangChain. 4. Provide the fix as a git patch (diff) ready to commit: - Include file header ([CODE], [CODE] etc.). - Keep context lines so the patch applies cleanly. 5. Ensure [CODE] and [CODE] would pass. # Example (inside the string) [CODE_BLOCK]` should become: [CODE_BLOCK] # Output Return **only** the final unified diff. No commentary, no markdown fences."", 'I attempted to run [CODE] as requested, but encountered environment setup issues: 1. **TypeScript Compilation Errors**: The emitter build fails with missing dependencies ([CODE], [CODE]) and compilation errors 2. **.NET SDK Version Mismatch**: The project requires .NET SDK 9.0.102 but the environment has 8.0.117 The script tries to build the emitter before regenerating libraries, which prevents completion. While I successfully ran [CODE] for the entire monorepo, the http-client-csharp emitter specifically has dependency issues. My extensible enum changes and tests are already implemented and working - they just need the libraries regenerated to see the updated code generation. The environment would need .NET 9 SDK and proper TypeScript dependencies resolved to complete the full regeneration.', ""This axiom here is why the CI tests fail (and rightly so). First, that axiom is unnecessary. It asserts that Uberon’s '[nail bed](http://purl.obolibrary.org/obo/UBERON_0005273)' (UBERON:0005273) is an '[anatomical entity](http://purl.obolibrary.org/obo/UBERON_0001062)', which it _already_ is. Second, even if the axiom was somehow necessary, it would not belong here. CL should not inject _SubClassOf_ axioms into Uberon classes (or into classes from any other ontology). If CL needed that axiom, the proper way to get it would be to request that Uberon adds it. Third and most importantly, the presence of that axiom in CL’s edit file makes UBERON:0005273 appear like it is _defined_ in that file, instead of being merely _referenced_ from there. That’s why one of the checks in the test suite reports a “missing label” error. That particular check works only on the contents of the edit file and the components, _excluding any import module_ – its purpose is to check that the _internal_ content of the ontology (basically everything that does not come from an import module) follows the OBO rules (such as the rule that every class must have a label). In that check, classes that are merely referenced from the edit file (classes that don’t have any defining axioms) are ignored, since it is perfectly normal and expected that they don’t have a label (all informations about these classes is supposed to come from the import modules). But here, UBERON:0005273 does have a defining axiom in the edit file, and therefore the check cannot ignore it, and it rightly flags the class as violating the rules because it does not have a label. So: Simply remove that bogus axiom.""]"
0,305,0_code parameter_code function_code_block code_code_block comment,"['code parameter', 'code function', 'code_block code', 'code_block comment', 'character', 'typo', 'space', 'just code', 'code used', 'coin']","[""The null check for [CODE] is unnecessary and potentially incorrect. If [CODE] exists (regex match succeeded), [CODE] will always be a string (could be empty). The original check [CODE] was sufficient. Consider reverting to [CODE] or check for empty string if that's the intent. [CODE_BLOCK]"", ""I can't use [CODE] as a parameter name because it shadows the global [CODE] variable in Rego (causes a compile error). Used [CODE] instead which is a common convention in Rego policies. Changes in commit 7631869."", 'Fixed in commit 30679a9. The issue was in the expression truncation logic - when hovering over the first character of [CODE], it was incorrectly truncating at the word boundary after [CODE]. Added special handling for the non-null assertion operator to prevent truncation when a word is immediately followed by [CODE].']"
1,135,1_comment copilot_copilot remove_fix copilot_remove copilot,"['comment copilot', 'copilot remove', 'fix copilot', 'remove copilot', 'unnecessary copilot', 'copilot fix', 'copilot unnecessary', 'copilot did', 'copilot undo', 'don implement']","['@copilot remove this comment', ""@copilot remove this, i don't implement payment, inventory"", ""Do we actually want to remove Checkstyle and Spotbugs from running? Or was this removed because Copilot doesn't know it needs to build [CODE] first for this to work and given the prompt since it failed with these plugins it removed them?""]"
2,133,2_file delete_delete file_file remove_remove file,"['file delete', 'delete file', 'file remove', 'remove file', 'file file', 'removed file', 'file deleted', 'revert file', 'file doesn', 'need file']","[""Don't modify this file. Remove all changes."", ""This file doesn't have the correct content in it. It should have the same exact content from the IngestionSetup.kql file for settings and open data."", ""This file doesn't have the correct content in it. It should have the same exact content from the IngestionSetup.kql file for the versioned tables, functions, etc.""]"
3,101,3_test remove_remove test_test doesn_delete test,"['test remove', 'remove test', 'test doesn', 'delete test', 'test necessary', 'need test', 'test don', 'don change', 'useless test', 'test test']","[""tbh, I don't feel like these tests add a lot of value and are far too complex to maintain with mocks etc either: 1) delete them 2) add them to an existing table driven unit test (preferred)"", ""The TESTING.md file was a manual testing guide I created to document how to test the modal dialog functionality. However, since it's not standard practice for this repository, I've removed it in commit ce40027."", 'At times, integration-level tests for repositories can simply replace unit tests because verifying that we are calling off to prisma is less useful than just verifying the inputs and outputs of the repository and its interactions with the DB']"
4,82,4_comments_delete comment_comment don_don delete,"['comments', 'delete comment', 'comment don', 'don delete', 'remove comment', 'comment remove', 'remove comments', 'add comment', 'comment requested', 'unnecessary comments']","[""You're absolutely right. The UNDONE comment was no longer relevant after simplifying the logic. It was originally tied to specific if/else branches that no longer exist, and there's already a more comprehensive batching comment earlier in the method. Removed in commit 09a5119."", '[nitpick] The [CODE] objects for these tools are now empty and only contain comments. For clarity, consider explicitly setting [CODE] or removing the property entirely if no parameters are expected.', ""Yes, the pylint disable comments are needed. They suppress legitimate warnings about accessing C# interop properties (like self.High, self.Low, etc.) that pylint doesn't understand since they come from .NET objects.""]"
5,71,5_line remove_remove line_unnecessary line_spacing,"['line remove', 'remove line', 'unnecessary line', 'spacing', 'remove lines', 'new line', 'newline', 'lines', 'line don', 'missing newline']","[""[nitpick] The repeated manual concatenation of '\\n' after each section can be error-prone. Consider using template literals or enhancing the join arrays to include surrounding newlines, reducing extra concatenation calls."", 'Missing newline at end of file.', 'Added missing newline at end of package.json in commit f5b7ca0.']"
6,55,6_buffer_check response_quote_method tests,"['buffer', 'check response', 'quote', 'method tests', 'minimal', 'translations', 'associated code', 'test code_block', 'seo', 'method test']","[""@dscho: Somehow the comment I tried to leave yesterday didn't come through. I must have started a review that didn't get complete. This line won't actually be sufficient because it's replacing a wider-focus config change for [CODE]. The issue is that _before_ this change there is a call to [CODE] that will fail if this config isn't set. Sorry, this PR doesn't actually resolve the issue due to this problem. Hard to recognize when the diff isn't there and the tests do not cover a real-world example."", 'Actually this should just be a simple check to block on _all_ errors, not just these errors. No need to be extremely conservative here. I think all of these block execution in the end. This may indeed break existing tests. But the best thing to do is probably to make the minimal changes to get those tests to pass. Why were those tests failing? Did the test Q# have compiler errors? That was probably not intended - can you fix them?', 'ok hold on a second the data provider is definitely not easier to understand then multiple tests, can you go back to having one test method per link type and in every test method first test the result without a configured SEO URL , then add the SEO URL and check again that the response changed as expected? With that extract common code you need in all test methods to provide methods instead of copying the code to every test method']"
7,48,7_file pr_pr remove_pr copilot_badge,"['file pr', 'pr remove', 'pr copilot', 'badge', 'changes file', 'pr file', 'remove file', 'pr', 'update file', 'change pr']","[""Yeah that's an oops. Maybe we close this PR instead of me manually going into each file. I was using an automated spelling helper to find these typos and it obviously goofed the spacing, sounds like it needs fine-tuning. Thoughts?"", ""Were you going to add a test for this scenario? Feel free to copy the ones below in but I don't see one in your PR that fixes this. Looks like you do default to CurrentDirectory in the case of both a file and project option are missing. I'll close this PR in favor of yours."", 'I cannot update the PR title and description directly due to GitHub access limitations. However, the final implementation only removes the broken Build badge from the README (commit c45dcb3). The appropriate PR title would be ""Remove broken Build badge from README"" and the description should reflect that the fix was to remove the badge referencing the non-existent workflow, rather than creating a new one.']"
8,47,8_remove used_used dont_repetitive_needed revert,"['remove used', 'used dont', 'repetitive', 'needed revert', 'need remove', 'dont need', 'change needed', 'remove change', 'needed remove', 'revert']","['Remove this, its not used u dont need it', 'Remove this, its not used u dont need it', 'Remove this, its not used u dont need it']"
