Topic,Count,Name,Representation,Representative_Docs
-1,1325,-1_code_the_to_in,"['code', 'the', 'to', 'in', 'is', 'and', 'that', 'not', 'it', 'of']","['Need to remove the version number here as this fails in the build tests. Need to look at the explanation given by copilot for why that test failed and then make the necessary changes so the build tests all work.', ""> I don't think this approach is OK. Every next scope would override whatever was there in the [CODE]. Therefore there would be only one last observation available downstream for the service method. So, that info would be misleading and dangerous. My proposal was just [CODE] every record here to finish their traces. Nothing more suspicious and confusing. > > The logic you propose is something what end-user would do in their service method for the batch. And since we cannot predict what's the goal, therefore we don't provide any observation handling for batches. Don't know if i understood everything correctly, but did all the changes that i thought were pertinent!"", '> ❓ I don\'t fully understand why we need all this. What\'s the point of having these annotations when we already tackle this with the search client proxy? The client proxy felt like a nice isolated and generic solution, whereas this relies people knowing they need to add/remove annotations. And honestly, I will have forgotten to do this by the time I implement my next endpoint 😄 That\'s a good point to raise. The idea of the search client proxy was more about having a ""catch-all"" fallback which protects against search logic slipping through. Having the [CODE] + Interceptor gives us a declarative way to mark which controller/endpoint are not supported (could be a helpful code-doc), and especially return the error early before the controller logic or downstream service code gets executed (for example validate process exists, parse/validate params, fetch primary storage data...). I agree with you that people will not always know when to add these but having both the annotation and client proxy should give us enough coverage. It will take time to initially label all these endpoints but we only do it once 😅']"
0,85,0_code_block_indentation_typo_space,"['code_block', 'indentation', 'typo', 'space', 'message', 'misspelled', 'checkbox', 'cbor', 'grammar', 'should']","['The panic message has typos: ""explicits"" should be ""explicitly"" and ""Cbor"" should be capitalized as ""CBOR"" for correct grammar and consistency. [CODE_BLOCK]', ""There is an extra space before 'esp8266:' causing incorrect YAML indentation. This should be aligned with other top-level components. [CODE_BLOCK]"", ""There is an extra space before 'esp8266:' causing incorrect YAML indentation. This should be aligned with other top-level components. [CODE_BLOCK]""]"
1,42,1_noise_remove_pure_this,"['noise', 'remove', 'pure', 'this', 'fluff', 'al', 'scrape', 'shit', 'kind', 'button']","[""Remove this, it's noise"", 'Remove this noise.', 'Remove this noise.']"
2,41,2_section_headings_sections_remove,"['section', 'headings', 'sections', 'remove', 'much', 'notes', 'h3', 'smell', 'detail', 'too']","['remove this section', 'Remove this section.', 'remove this section']"
3,39,3_copilot_fix_claude_did,"['copilot', 'fix', 'claude', 'did', 'ok', 'why', '119', 'zadjii', 'tricks', 'drugs']","['@copilot fix this', '@copilot fix this', '@copilot fix this']"
4,38,4_right_ugly_change_seem,"['right', 'ugly', 'change', 'seem', 'true', 'doesn', 'shouldn', 'funky', 'honest', 'ahead']","['is this bold on purpose? Looks a bit funky IMHO 😅', 'No, this is right. Do not change.', ""This doesn't seem right.""]"
5,34,5_revert_change_changes_date,"['revert', 'change', 'changes', 'date', 'undo', 'changing', 'these', 'readme', 'needed', 'box']","[""revert this as it's not needed"", 'This is not needed, revert this change.', 'This is not needed, revert this change.']"
6,31,6_file_bots_mainly_devs,"['file', 'bots', 'mainly', 'devs', 'qas', 'ignore', 'please', 'his', 'path', 'removed']","['this is mainly for bots and devs to understand the path for each file. not for users or QAs. please ignore', 'his is mainly for bots and devs to understand the path for each file. not for users or QAs. please ignore', 'his is mainly for bots and devs to understand the path for each file. not for users or QAs. please ignore']"
7,31,7_need_include_instruction_needed,"['need', 'include', 'instruction', 'needed', 'don', 'instructions', 'part', 'im', 'actor', 'fire']","[""Don't include this instruction"", ""Don't include this instruction"", ""We don't need this""]"
8,28,8_empty_spacing_line_newline,"['empty', 'spacing', 'line', 'newline', 'end', 'concatenation', '06370ad', 'random', 'lines', 'whitespace']","['remove this empty line', 'remove this empty line', 'remove this empty line']"
9,28,9_evals_performance_counter_limit,"['evals', 'performance', 'counter', 'limit', 'training', 'reschedule', 'telling', 'bottleneck', 'increase', 'very']","['please test this, mmmm this should only react to documentLog that has been ran changing to snapshot the state of evaluations with live eval in that exact moment.... i have a fear this is going to break evals in playground...', ""I don't quite understand why we want to track time between evals. We can get an arb number of training steps inbetween evals, so isn't this usually just telling us how long n training steps is taking?"", 'agree. anyway CAT seems to be very broken at the moment. Under very light load, it works occasionally, but once I increase the number of transactions, the chain halts. I am right now going over the whole implementation to familiarize with it and see what can be improved. So, I am fine with merging this to be on the same version as v0.38.x branch. Otherwise, we could revert that commit and wait until we fix the real issues']"
10,27,10_comments_comment_self_commented,"['comments', 'comment', 'self', 'commented', 'pylint', 'uncommented', 'originally', 'objects', 'unnecessary', 'disable']","[""Comments don't seem to be in line with the code. Perhaps remove all comments?"", 'remove comments from all code files', 'remove all code comments']"
