year_month,agent,mean,count
2025-01,Devin,0.17674107074465914,24
2025-02,Devin,0.12805377969385257,35
2025-03,Claude_Code,0.10408167473764883,9
2025-03,Devin,0.12174562026527436,51
2025-04,Devin,0.08270403254317825,74
2025-05,Claude_Code,0.14845512767967123,13
2025-05,Copilot,0.1767208142839918,226
2025-05,Devin,0.1600301678581032,142
2025-05,OpenAI_Codex,0.07253782524869008,575
2025-06,Claude_Code,0.08152570562735903,53
2025-06,Copilot,0.2112888240615411,509
2025-06,Cursor,0.22623476149507207,131
2025-06,Devin,0.22715936208760468,256
2025-06,OpenAI_Codex,0.10305626784147372,668
2025-07,Claude_Code,0.19787614355169114,61
2025-07,Copilot,0.16949663745884214,486
2025-07,Cursor,0.1803212851448312,347
2025-07,Devin,0.3446541343595223,281
2025-07,OpenAI_Codex,0.1278800633948459,252
